Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.181991375,-0.0789479363,0.03773931853,0.0679598121,0.1107951663
1.192017375,-0.04986680925,0.03619283963,0.04457917213,0.07605210644
1.202042375,-0.02751407325,0.04557740148,0.0346634821,0.06352858211
1.212068375,-0.02506642878,0.04630823035,0.05187885443,0.07392018389
1.222094375,-0.05195134163,0.05447657134,0.03955058495,0.08503462525
1.232120375,-0.08106813669,0.04769610353,0.05360964853,0.1082633617
1.242146375,-0.1056919312,0.05572122429,0.03791217685,0.1253513954
1.252172375,-0.08016415715,0.05232614815,0.03532186031,0.1020389714
1.262198375,-0.0887607336,0.05076040998,0.01707620859,0.1036662141
1.272224375,-0.1055931133,0.01566147476,0.03496280473,0.1123280245
1.282250375,-0.07647105575,-0.003972963765,0.03452433664,0.08399724179
1.292275375,-0.066507985,0.01339578833,0.03402847448,0.07589925091
1.302301375,-0.07809482753,0.0003937734291,0.02258079568,0.08129483058
1.312327375,-0.0675330019,0.001473973431,0.002663991451,0.06760159609
1.322353375,-0.08137219191,0.004462229535,0.04201107502,0.09168574334
1.332379375,-0.1094259632,0.01585260563,0.04643040061,0.1199213435
1.342405375,-0.1473562664,0.01601753365,0.04027558487,0.1535986763
1.352431375,-0.1908227134,0.01088280123,0.05415574193,0.1986569598
1.362457375,-0.2121305519,0.00681577038,0.03969325701,0.2159198473
1.372483375,-0.1731173444,0.02504819278,0.01253526092,0.1753686393
1.382509375,-0.1100030833,0.0346517694,-0.02544587653,0.1181055295
1.392534375,-0.1666386294,-0.004700649753,0.009480675459,0.1669742859
1.402560375,-0.1816659737,-0.003903272264,0.02037520766,0.1828466861
1.412586375,-0.1814227295,0.00554940965,-0.002032492161,0.1815189625
1.422612375,-0.1968973857,0.03732920945,0.01262415687,0.2008019415
1.432638375,-0.2400656247,0.03467270974,0.02184174417,0.2435380109
1.442664375,-0.218123948,0.03999130055,0.001536666546,0.2217650156
1.452690375,-0.2282220894,0.02092323795,0.0324076263,0.2314591934
1.462716375,-0.2598713136,-0.00787473768,0.04366583705,0.2636319716
1.472742375,-0.2371806085,-0.00568173945,0.006182882376,0.2373292044
1.482767375,-0.2589550549,-0.02428341351,-0.01281473955,0.2604066477
1.492793375,-0.2383705169,-0.04520193715,-0.006794446316,0.2427135821
1.502819375,-0.2332027477,-0.05193690632,-0.007128961869,0.2390225635
1.512845375,-0.2648648357,-0.08144893661,0.00675232809,0.2771874897
1.522871375,-0.2926326782,-0.08075293522,0.0136193347,0.3038756442
1.532897375,-0.2933173871,-0.06520643134,0.02308484394,0.3013633659
1.542923375,-0.2558297181,-0.06523760431,0.004434564896,0.2640538866
1.552949375,-0.2107131869,-0.04512610607,0.005627396889,0.2155645615
1.562975375,-0.1965828055,-0.04997436147,0.03495118339,0.2058247348
1.573000375,-0.1915875292,-0.0702581333,0.0430869627,0.2085628754
1.583026375,-0.1720724469,-0.0595584961,0.03828756809,0.1860700925
1.593052375,-0.2000092739,-0.06872133885,0.02916943828,0.2134881453
1.603078375,-0.1908291453,-0.0866428721,-0.01013320645,0.2098223817
1.613104375,-0.1508195722,-0.09031364445,-0.02910510063,0.178185871
1.623130375,-0.1371604764,-0.1192122287,-0.03771103263,0.1855981513
1.633156375,-0.1408717042,-0.1358307831,-0.04298054338,0.2003550992
1.643182375,-0.09997686267,-0.1175773838,-0.05592744827,0.1641575271
1.653208625,-0.09890039027,-0.1204428849,-0.05289862711,0.1645783718
1.663233625,-0.09213048398,-0.1031808079,-0.05893289885,0.1503575464
1.673259625,-0.04045513093,-0.08440941844,-0.03881379923,0.1013315279
1.683285625,-0.03293502688,-0.08296508309,-0.02985471368,0.09412345582
1.693311625,-0.01778196752,-0.08049543846,-0.03664333105,0.09021334543
1.703337625,0.01758316219,-0.07763969488,-0.02398060083,0.08313939518
1.713363625,0.01972207367,-0.08232916184,-0.02041496873,0.0870851424
1.723389625,-0.01721127927,-0.08201739561,-0.02655218801,0.0879096127
1.733415625,0.01740131378,-0.08988858841,-0.02208142519,0.09418255352
1.743441625,0.05934280694,-0.08144148141,-0.009394118395,0.1012054005
1.753466625,0.1041178608,-0.09825423639,-0.014538517,0.1438950742
1.763492625,0.112956512,-0.09654162347,0.02257025242,0.1502959579
1.773518625,0.1020333284,-0.08768382266,0.02583182931,0.136991008
1.783544625,0.08586928546,-0.06786004398,0.02649841189,0.1126085502
1.793570625,0.09544468582,-0.06310596529,0.02363207024,0.116835464
1.803596625,0.09259299874,-0.07359886687,0.0351464073,0.1233917605
1.813622625,0.1253596258,-0.07179511048,0.04019142151,0.1499497384
1.823648625,0.1325259733,-0.08091121204,0.05104385376,0.1634479515
1.833674625,0.1437280691,-0.0688662767,0.0839940834,0.1801536232
1.843700625,0.1781231457,-0.05506140254,0.04216195146,0.1911471769
1.853725625,0.1667093807,-0.06253947973,0.05155493695,0.1853675152
1.863751625,0.1338825274,-0.04055438742,0.08063314039,0.1614648346
1.873777625,0.06227927864,0.03865108218,0.2033462433,0.2161534394
1.883803625,-0.002594994307,-0.01540770561,0.2523085431,0.2527918755
1.893829625,0.5688492984,-0.1197761196,-0.1618099988,0.6034221729
1.903855625,0.1700054562,-0.140384485,-0.0880286622,0.2373998823
1.913881625,-0.2028065819,-0.04533817727,0.2127322304,0.2973904199
1.923907625,0.1439333063,-0.1144021995,0.009476052504,0.184104469
1.933932625,0.2098589087,-0.00915787261,0.05120406747,0.2162093539
1.943958625,-0.007735866308,0.06364478622,0.0982437114,0.1173129544
1.953984625,0.09409105539,-0.106270294,0.08636567753,0.1661491268
1.964010625,0.4265824485,0.02218210693,0.009046775512,0.4272545791
1.974036625,0.03325779319,0.09801369656,0.08640547514,0.1348283044
1.984062625,-0.2901669073,-0.1298525167,0.06979587436,0.325468853
1.994088625,0.0740538168,-0.07496645752,0.02208263118,0.1076642008
2.004114625,0.2293260437,-0.02451331872,-0.0005215716362,0.2306330617
2.014140625,0.03325720847,-0.09167732477,-0.05180982074,0.1104311157
2.024165625,0.2051051223,-0.009517988004,0.07277446428,0.2178412862
2.034191625,0.2632024723,-0.01253292203,0.01372809291,0.2638580605
2.044217625,-0.02777953684,-0.05305292051,-0.005844913311,0.06017040846
2.054243625,0.03433251143,0.08147952486,0.06953856032,0.1124866467
2.064269625,0.1970634466,0.06537190754,0.05423409462,0.2145899003
2.074295625,0.07163833201,0.006778786741,0.04563985705,0.08521149638
2.084321625,-0.05453931928,0.04849826843,0.02787599763,0.07812612003
2.094347625,0.08842861176,0.04338900793,0.07194178423,0.1219747749
2.104373625,0.1686588424,0.02682402872,0.0741298306,0.1861734821
2.114399625,-0.06290434599,-0.01873619657,0.03157262564,0.07283428105
2.124424625,-0.1043540883,-0.004898431823,0.05487730661,0.1180054624
2.134450625,0.04847751081,-0.00171104148,0.06534731269,0.08138346265
2.144476625,-0.05360318005,0.009193723351,0.03694619855,0.06574836156
2.154502625,-0.188901903,0.03065647658,0.1116572424,0.2215650882
2.164528625,-0.1445765001,0.01457787607,0.072784971,0.1625193245
2.174554625,-0.1707480526,0.01815352153,0.07192658147,0.1861662723
2.184580625,-0.2045537299,0.06198516369,0.06653548518,0.2238556672
2.194606625,-0.1126086026,0.03713157356,0.04530771693,0.126934
2.204632625,-0.06017720461,-0.01290619366,0.09965407809,0.1171272858
2.214657625,-0.05684253752,-0.0475159362,0.1074940431,0.1305519344
2.224683625,-0.08972493947,0.008652161546,0.1078647749,0.1405711006
2.234709625,-0.09072715223,-0.002420783825,0.07038763085,0.114855104
2.244735625,-0.1126752609,-0.02476544335,0.078811148,0.1397148476
2.254761625,-0.1389678508,0.007130679488,0.1301403093,0.1905240412
2.264787625,-0.1440028882,0.03512159318,0.1134792531,0.1866759197
2.274813625,-0.1368996906,0.02333313134,0.147990671,0.2029462959
2.284839625,-0.1464055091,-0.006428319253,0.1673285826,0.2224292043
2.294865625,-0.2127860248,0.004474289417,0.1804251945,0.2790182116
2.304890625,-0.1727372754,0.00868552722,0.1513972771,0.2298580871
2.314916625,-0.08553014696,-0.0182241632,0.1623105387,0.1843698379
2.324942625,-0.09382149875,-0.02671943665,0.1859426272,0.2099787192
2.334968625,-0.1666245961,-0.02562936947,0.2101699805,0.2694291026
2.344994625,-0.1461716205,0.01477777775,0.2007653189,0.248779498
2.355020625,-0.1038576597,0.01350962631,0.2291746008,0.2519720642
2.365046625,-0.1612287855,0.01607045095,0.2146208811,0.2689146766
